Src_Player_Id,System_First_Bet_Datetime,System_First_BetSlip_Amt,System_First_Bet_Product_Group,System_First_Bet_Product,System_First_Bet_Channel,System_First_Bet_Platform
15643431,10/9/2020 3:57,3,eGaming,Non Table Games,Online,Mobile
13593034,9/27/2019 15:03,10,Sports,Prematch,Online,Mobile
15894194,2/28/2021 2:22,2,eGaming,Non Table Games,Online,Web
13238000,7/8/2019 10:39,0,eGaming,Non Table Games,Online,Mobile
12866848,4/27/2019 14:20,0,eGaming,Non Table Games,Online,Mobile
15025504,2/25/2020 19:05,4,eGaming,Non Table Games,Online,Mobile
14688049,NULL,NULL,NULL,NULL,NULL,NULL
13436690,NULL,NULL,NULL,NULL,NULL,NULL
13717946,NULL,NULL,NULL,NULL,NULL,NULL
13819934,11/3/2019 11:18,10,eGaming,Non Table Games,Online,Mobile
12691113,3/18/2019 18:20,0,eGaming,Non Table Games,Online,Web
16278878,7/12/2020 16:47,0,eGaming,Non Table Games,Online,Web
20159936,5/8/2021 14:52,0,eGaming,Non Table Games,Online,Mobile
19046559,2/10/2021 19:03,0,eGaming,Non Table Games,Online,Mobile
15315694,4/1/2020 11:36,0,eGaming,Non Table Games,Online,Mobile
15818186,10/1/2020 14:32,10,Sports,Prematch,Online,Mobile
18203843,NULL,NULL,NULL,NULL,NULL,NULL
12631319,3/7/2019 19:40,30,Sports,Prematch,Online,Mobile
15506916,4/17/2020 19:35,0,eGaming,Non Table Games,Online,Mobile
20713317,7/11/2021 18:40,0,eGaming,Non Table Games,Online,Mobile
13676155,10/13/2019 13:17,1,eGaming,Non Table Games,Online,Mobile
20495184,NULL,NULL,NULL,NULL,NULL,NULL
20811567,7/12/2021 7:28,0,eGaming,Non Table Games,Online,Mobile
13518866,NULL,NULL,NULL,NULL,NULL,NULL
16112883,10/11/2020 14:02,2,eGaming,Non Table Games,Online,Mobile
13844887,11/6/2019 21:11,0,eGaming,Non Table Games,Online,Web
14481608,12/3/2019 18:52,50,Sports,Prematch,Online,Mobile
13707333,NULL,NULL,NULL,NULL,NULL,NULL
13870838,11/10/2019 16:25,0,eGaming,Non Table Games,Online,Mobile
19969871,NULL,NULL,NULL,NULL,NULL,NULL
13842765,11/7/2019 18:34,10,Sports,Prematch,Online,Mobile
12459072,NULL,NULL,NULL,NULL,NULL,NULL
15410151,4/10/2020 18:10,1,eGaming,Non Table Games,Online,Mobile
12678906,NULL,NULL,NULL,NULL,NULL,NULL
15048196,NULL,NULL,NULL,NULL,NULL,NULL
14477728,12/2/2019 22:30,1,eGaming,Non Table Games,Online,Mobile
12391214,1/15/2019 21:19,0,eGaming,Non Table Games,Online,Web
14798561,NULL,NULL,NULL,NULL,NULL,NULL
15034087,NULL,NULL,NULL,NULL,NULL,NULL
15201913,NULL,NULL,NULL,NULL,NULL,NULL
18053265,11/26/2020 13:53,2,Sports,Prematch,Online,Mobile
17194564,9/21/2020 14:10,10,Sports,Prematch,Online,Mobile
12506432,2/11/2019 18:40,5,Sports,Prematch,Online,Mobile
12858256,NULL,NULL,NULL,NULL,NULL,NULL
15617862,NULL,NULL,NULL,NULL,NULL,NULL
13301991,NULL,NULL,NULL,NULL,NULL,NULL
15717672,5/6/2020 8:18,3,eGaming,Non Table Games,Online,Mobile
14752975,1/13/2020 1:08,10,eGaming,Non Table Games,Online,Web
17271328,NULL,NULL,NULL,NULL,NULL,NULL
16813713,8/27/2020 17:32,0,eGaming,Non Table Games,Online,Web
15370837,4/8/2020 16:49,4,eGaming,Non Table Games,Online,Web
14483394,12/4/2019 0:56,50,Sports,Prematch,Online,Web
12335210,NULL,NULL,NULL,NULL,NULL,NULL
18746504,NULL,NULL,NULL,NULL,NULL,NULL
14501001,12/8/2019 18:55,500,Sports,Prematch,Online,Mobile
13950851,NULL,NULL,NULL,NULL,NULL,NULL
14817879,1/22/2020 10:30,0,eGaming,Non Table Games,Online,Mobile
17328839,10/2/2020 19:19,5,Sports,Prematch,Online,Web
12631591,3/5/2019 19:17,0,eGaming,Non Table Games,Online,Web
12718155,NULL,NULL,NULL,NULL,NULL,NULL
15649527,NULL,NULL,NULL,NULL,NULL,NULL
13598470,NULL,NULL,NULL,NULL,NULL,NULL
15911186,5/27/2020 9:13,1,eGaming,Non Table Games,Online,Web
13241813,7/9/2019 13:43,10,eGaming,Non Table Games,Online,Web
12987157,4/30/2019 17:39,1,eGaming,Non Table Games,Online,Mobile
15029032,2/27/2020 2:05,10,Sports,Prematch,Online,Mobile
14688534,NULL,NULL,NULL,NULL,NULL,NULL
13438104,NULL,NULL,NULL,NULL,NULL,NULL
13723120,10/19/2019 17:01,20,Sports,Prematch,Online,Mobile
13832770,11/7/2019 16:14,2,Sports,Live,Online,Mobile
12691906,3/20/2019 16:30,1,eGaming,Non Table Games,Online,Web
16349031,NULL,NULL,NULL,NULL,NULL,NULL
20161364,NULL,NULL,NULL,NULL,NULL,NULL
19078877,NULL,NULL,NULL,NULL,NULL,NULL
15369850,NULL,NULL,NULL,NULL,NULL,NULL
15840268,5/19/2020 11:10,0,eGaming,Non Table Games,Online,Mobile
18229841,NULL,NULL,NULL,NULL,NULL,NULL
12633745,NULL,NULL,NULL,NULL,NULL,NULL
15550819,4/21/2020 16:17,4,eGaming,Non Table Games,Online,Web
20720641,NULL,NULL,NULL,NULL,NULL,NULL
13695343,10/15/2019 20:18,500,Sports,Prematch,Online,Web
20516707,NULL,NULL,NULL,NULL,NULL,NULL
19518700,NULL,NULL,NULL,NULL,NULL,NULL
13583797,NULL,NULL,NULL,NULL,NULL,NULL
16139956,NULL,NULL,NULL,NULL,NULL,NULL
13847372,11/7/2019 11:42,3,Sports,Prematch,Online,Mobile
14494102,12/5/2019 16:42,0,eGaming,Non Table Games,Online,Mobile
13708276,10/17/2019 11:47,1,eGaming,Non Table Games,Online,Mobile
13872938,NULL,NULL,NULL,NULL,NULL,NULL
19985666,NULL,NULL,NULL,NULL,NULL,NULL
13854014,11/8/2019 11:09,20,Sports,Prematch,Online,Web
12460424,1/31/2019 12:39,0,eGaming,Non Table Games,Online,Mobile
15450676,4/13/2020 23:35,1,eGaming,Non Table Games,Online,Mobile
12680225,3/16/2019 18:07,0,eGaming,Non Table Games,Online,Mobile
15097445,3/7/2020 17:02,2,eGaming,Non Table Games,Online,Mobile
14480032,NULL,NULL,NULL,NULL,NULL,NULL
12408613,1/19/2019 18:15,0,eGaming,Non Table Games,Online,Mobile
14820332,NULL,NULL,NULL,NULL,NULL,NULL
15040847,3/2/2020 20:47,1,eGaming,Non Table Games,Online,Mobile
15209400,3/22/2020 10:22,2,eGaming,Non Table Games,Online,Mobile
18070676,12/5/2020 19:25,2,eGaming,Non Table Games,Online,Web
17225532,9/23/2020 22:27,20,Sports,Live,Online,Mobile
12507484,NULL,NULL,NULL,NULL,NULL,NULL
12861101,4/25/2019 18:39,5,Sports,Prematch,Online,Mobile
15644746,4/29/2020 15:45,3,eGaming,Non Table Games,Online,Mobile
13307468,7/31/2019 12:39,5,Sports,Live,Online,Web
15735273,NULL,NULL,NULL,NULL,NULL,NULL
14772152,1/15/2020 23:02,1,eGaming,Non Table Games,Online,Mobile
17331296,11/14/2020 8:17,20,Sports,Prematch,Online,Mobile
17022509,NULL,NULL,NULL,NULL,NULL,NULL
15385415,4/8/2020 7:16,10,eGaming,Non Table Games,Online,Mobile
14495601,12/11/2020 12:11,1,eGaming,Non Table Games,Online,Mobile
12336771,NULL,NULL,NULL,NULL,NULL,NULL
18760298,1/14/2021 12:42,5,Sports,Prematch,Online,Web
14512856,12/8/2019 17:44,5,Sports,Prematch,Online,Mobile
13958560,NULL,NULL,NULL,NULL,NULL,NULL
14819194,1/22/2020 18:16,10,Sports,Prematch,Online,Mobile
17329893,10/2/2020 19:11,0,eGaming,Non Table Games,Online,Mobile
12633682,NULL,NULL,NULL,NULL,NULL,NULL
12729682,3/25/2019 10:47,0,eGaming,Non Table Games,Online,Mobile
15689029,5/3/2020 9:02,3,eGaming,Non Table Games,Online,Mobile
13611021,10/1/2019 11:30,10,Sports,Prematch,Online,Mobile
15932812,NULL,NULL,NULL,NULL,NULL,NULL
13254518,7/15/2019 8:46,1,eGaming,Non Table Games,Online,Mobile
13004498,NULL,NULL,NULL,NULL,NULL,NULL
15045170,2/29/2020 12:16,0,eGaming,Non Table Games,Online,Mobile
14690705,1/4/2020 3:59,1,eGaming,Non Table Games,Online,Web
13438733,NULL,NULL,NULL,NULL,NULL,NULL
13746297,10/23/2019 8:05,1,eGaming,Non Table Games,Online,Mobile
13835353,NULL,NULL,NULL,NULL,NULL,NULL
12730705,3/25/2019 15:32,1,eGaming,Non Table Games,Online,Web
16393120,NULL,NULL,NULL,NULL,NULL,NULL
20198850,5/22/2021 19:46,0,eGaming,Non Table Games,Online,Mobile
19085810,NULL,NULL,NULL,NULL,NULL,NULL
15370407,4/6/2020 16:25,10,eGaming,Non Table Games,Online,Mobile
15843943,NULL,NULL,NULL,NULL,NULL,NULL
18232501,NULL,NULL,NULL,NULL,NULL,NULL
12636261,NULL,NULL,NULL,NULL,NULL,NULL
15599011,4/25/2020 15:53,1,eGaming,Non Table Games,Online,Mobile
20728295,NULL,NULL,NULL,NULL,NULL,NULL
13701529,NULL,NULL,NULL,NULL,NULL,NULL
20542998,NULL,NULL,NULL,NULL,NULL,NULL
19532542,3/16/2021 17:15,2,eGaming,Non Table Games,Online,Mobile
13597545,9/28/2019 12:20,0,eGaming,Non Table Games,Online,Mobile
16143221,NULL,NULL,NULL,NULL,NULL,NULL
13864260,11/9/2019 18:55,0,eGaming,Non Table Games,Online,Mobile
14504921,NULL,NULL,NULL,NULL,NULL,NULL
13740555,10/31/2019 20:05,10,Sports,Prematch,Online,Mobile
13891148,11/13/2019 15:10,5,Sports,Prematch,Online,Mobile
20054353,NULL,NULL,NULL,NULL,NULL,NULL
13857296,NULL,NULL,NULL,NULL,NULL,NULL
12470186,2/2/2019 20:06,200,Sports,Prematch,Online,Mobile
15453934,NULL,NULL,NULL,NULL,NULL,NULL
12697854,NULL,NULL,NULL,NULL,NULL,NULL
15101994,3/8/2020 13:23,10,eGaming,Non Table Games,Online,Mobile
14485630,NULL,NULL,NULL,NULL,NULL,NULL
12418375,1/21/2019 18:28,2,eGaming,Non Table Games,Online,Mobile
14820812,NULL,NULL,NULL,NULL,NULL,NULL
15066747,3/2/2020 18:16,2,eGaming,Non Table Games,Online,Mobile
15228390,3/24/2020 9:28,1,eGaming,Non Table Games,Online,Mobile
18109966,11/30/2020 18:37,250,Sports,Prematch,Online,Web
17286880,9/30/2020 6:28,0,eGaming,Non Table Games,Online,Mobile
12558883,2/19/2019 17:32,2,Sports,Prematch,Online,Mobile
12985543,5/12/2019 12:09,10,Sports,Prematch,Online,Mobile
15655736,4/30/2020 15:20,1,eGaming,Non Table Games,Online,Mobile
13321326,8/4/2019 10:57,1,eGaming,Table Games,Online,Mobile
15757355,NULL,NULL,NULL,NULL,NULL,NULL
14781047,1/17/2020 18:42,10,Sports,Prematch,Online,Mobile
17425409,10/19/2020 13:31,0,eGaming,Non Table Games,Online,Mobile
17025281,9/2/2020 22:31,10,eGaming,Non Table Games,Online,Mobile
15470751,4/15/2020 11:58,10,eGaming,Non Table Games,Online,Web
14531392,NULL,NULL,NULL,NULL,NULL,NULL
12338774,NULL,NULL,NULL,NULL,NULL,NULL
18815457,1/19/2021 12:28,0,eGaming,Non Table Games,Online,Mobile
14525093,12/10/2019 14:43,2,Sports,Prematch,Online,Mobile
14461191,NULL,NULL,NULL,NULL,NULL,NULL
14825115,1/23/2020 15:26,10,Sports,Prematch,Online,Mobile
17330527,NULL,NULL,NULL,NULL,NULL,NULL
12634025,3/6/2019 9:51,0,eGaming,Non Table Games,Online,Mobile
12753326,3/30/2019 19:46,0,eGaming,Non Table Games,Online,Mobile
15689321,5/3/2020 9:48,3,eGaming,Non Table Games,Online,Mobile
13637872,10/6/2019 22:12,10,Sports,Live,Online,Mobile
15935988,5/31/2020 10:51,1,eGaming,Non Table Games,Online,Mobile
13287327,7/24/2019 12:07,1,eGaming,Non Table Games,Online,Mobile
13004847,5/5/2019 14:59,1,eGaming,Non Table Games,Online,Mobile
15090438,3/6/2020 18:53,500,Sports,Prematch,Online,Web
14698936,NULL,NULL,NULL,NULL,NULL,NULL
13448788,9/6/2019 21:00,500,Sports,Prematch,Online,Web
13746646,10/24/2019 17:45,2,Sports,Prematch,Online,Mobile
13842522,11/6/2019 18:10,10,Sports,Prematch,Online,Mobile
12739348,NULL,NULL,NULL,NULL,NULL,NULL
16429874,7/20/2020 15:52,0,eGaming,Non Table Games,Online,Mobile
20205377,5/14/2021 17:30,0,eGaming,Non Table Games,Online,Mobile
19103433,NULL,NULL,NULL,NULL,NULL,NULL
15396827,4/9/2020 14:38,1,eGaming,Non Table Games,Online,Mobile
15879889,5/23/2020 19:21,1,eGaming,Non Table Games,Online,Mobile
18253545,NULL,NULL,NULL,NULL,NULL,NULL
12650671,NULL,NULL,NULL,NULL,NULL,NULL
15609857,4/26/2020 7:29,10,eGaming,Non Table Games,Online,Mobile
20735371,NULL,NULL,NULL,NULL,NULL,NULL
13707065,NULL,NULL,NULL,NULL,NULL,NULL
20558506,NULL,NULL,NULL,NULL,NULL,NULL
19591703,3/21/2021 10:34,0,eGaming,Non Table Games,Online,Mobile
13601126,11/20/2019 22:10,1,eGaming,Non Table Games,Online,Mobile
16152126,6/23/2020 14:00,10,eGaming,Non Table Games,Online,Mobile
13893029,11/13/2019 19:57,1,Sports,Prematch,Online,Mobile
14533838,NULL,NULL,NULL,NULL,NULL,NULL
13746966,4/11/2021 18:57,0,eGaming,Non Table Games,Online,Mobile
13895337,11/14/2019 1:09,25,Sports,Prematch,Online,Mobile
20056599,NULL,NULL,NULL,NULL,NULL,NULL
13858381,NULL,NULL,NULL,NULL,NULL,NULL
12474068,2/3/2019 16:11,1,eGaming,Non Table Games,Online,Web
15566567,4/22/2020 19:09,3,eGaming,Non Table Games,Online,Mobile
12706411,NULL,NULL,NULL,NULL,NULL,NULL
15102896,NULL,NULL,NULL,NULL,NULL,NULL
14492695,12/5/2019 14:29,10,Sports,Prematch,Online,Mobile
12429421,1/24/2019 4:20,1,eGaming,Non Table Games,Online,Mobile
14825813,1/23/2020 13:23,1,eGaming,Non Table Games,Online,Mobile
15070623,3/4/2020 0:18,2,IVG,IVG,Online,Mobile
15231291,NULL,NULL,NULL,NULL,NULL,NULL
18125486,NULL,NULL,NULL,NULL,NULL,NULL
17310824,9/30/2020 22:06,100,Sports,Live,Online,Mobile
12571369,NULL,NULL,NULL,NULL,NULL,NULL
12999920,5/4/2019 8:27,10,eGaming,Non Table Games,Online,Mobile
15668095,5/1/2020 13:35,10,eGaming,Non Table Games,Online,Mobile
15347283,4/4/2020 6:28,10,eGaming,Non Table Games,Online,Mobile
15781634,NULL,NULL,NULL,NULL,NULL,NULL
14787550,NULL,NULL,NULL,NULL,NULL,NULL
17509384,10/17/2020 20:58,4,eGaming,Non Table Games,Online,Mobile
17031531,9/3/2020 20:47,4,Sports,Prematch,Online,Mobile
15527663,NULL,NULL,NULL,NULL,NULL,NULL
14533638,NULL,NULL,NULL,NULL,NULL,NULL
12341728,NULL,NULL,NULL,NULL,NULL,NULL
18817444,1/19/2021 18:32,490,Sports,Prematch,Online,Web
14528698,NULL,NULL,NULL,NULL,NULL,NULL
14482342,NULL,NULL,NULL,NULL,NULL,NULL
14852415,1/27/2020 19:33,500,Sports,Prematch,Online,Web
17330890,NULL,NULL,NULL,NULL,NULL,NULL
12637920,NULL,NULL,NULL,NULL,NULL,NULL
12760331,4/1/2019 16:50,1,eGaming,Non Table Games,Online,Mobile
15700575,NULL,NULL,NULL,NULL,NULL,NULL
13643729,10/7/2019 19:37,1,eGaming,Non Table Games,Online,Web
16004389,NULL,NULL,NULL,NULL,NULL,NULL
13293357,7/26/2019 21:16,2,Sports,Prematch,Online,Mobile
13007568,5/7/2019 21:52,150,Sports,Prematch,Online,Mobile
15125095,3/12/2020 16:52,10,eGaming,Non Table Games,Online,Mobile
14706291,1/6/2020 18:32,1,eGaming,Non Table Games,Online,Mobile
13490851,9/16/2019 9:40,5,Sports,Live,Online,Mobile
13747351,NULL,NULL,NULL,NULL,NULL,NULL
13855579,11/10/2019 10:52,55,Sports,Prematch,Online,Mobile
12747095,3/29/2019 11:49,1,Sports,Live,Online,Mobile
16437449,7/22/2020 21:04,5,Sports,Live,Online,Mobile
20255765,5/20/2021 10:48,1,eGaming,Non Table Games,Online,Mobile
19123349,NULL,NULL,NULL,NULL,NULL,NULL
15542593,4/20/2020 18:05,10,eGaming,Non Table Games,Online,Mobile
17998395,11/28/2020 15:46,50,Sports,Prematch,Online,Mobile
18311832,NULL,NULL,NULL,NULL,NULL,NULL
12658273,NULL,NULL,NULL,NULL,NULL,NULL
15658465,NULL,NULL,NULL,NULL,NULL,NULL
20750524,7/5/2021 13:54,4,eGaming,Non Table Games,Online,Mobile
13766403,NULL,NULL,NULL,NULL,NULL,NULL
20571273,6/19/2021 8:21,4,eGaming,Non Table Games,Online,Mobile
19607838,3/22/2021 17:56,5,Sports,Prematch,Online,Mobile
13604893,9/29/2019 18:03,10,eGaming,Non Table Games,Online,Web
16155298,NULL,NULL,NULL,NULL,NULL,NULL
13903546,NULL,NULL,NULL,NULL,NULL,NULL
14546348,NULL,NULL,NULL,NULL,NULL,NULL
13772930,9/11/2020 13:59,0,eGaming,Non Table Games,Online,Mobile
13902562,11/14/2019 19:49,1,eGaming,Non Table Games,Online,Mobile
20056836,4/28/2021 16:11,0,eGaming,Non Table Games,Online,Mobile
13879277,NULL,NULL,NULL,NULL,NULL,NULL
12484652,NULL,NULL,NULL,NULL,NULL,NULL
15638019,4/29/2020 9:02,20,eGaming,Non Table Games,Online,Mobile
12715779,3/22/2019 15:58,1,eGaming,Non Table Games,Online,Web
15220203,3/23/2020 11:39,2,eGaming,Non Table Games,Online,Mobile
14494887,NULL,NULL,NULL,NULL,NULL,NULL
12430261,1/29/2019 12:24,1,eGaming,Non Table Games,Online,Mobile
14827813,NULL,NULL,NULL,NULL,NULL,NULL
15085264,NULL,NULL,NULL,NULL,NULL,NULL
15239949,3/25/2020 12:35,0,eGaming,Non Table Games,Online,Mobile
18128534,12/1/2020 18:33,2,Sports,Prematch,Online,Mobile
17352884,NULL,NULL,NULL,NULL,NULL,NULL
12598333,NULL,NULL,NULL,NULL,NULL,NULL
13003747,5/5/2019 8:54,1,eGaming,Non Table Games,Online,Web
15700702,5/4/2020 13:47,2,eGaming,Non Table Games,Online,Mobile
15401426,4/9/2020 21:38,1,eGaming,Non Table Games,Online,Mobile
15795396,NULL,NULL,NULL,NULL,NULL,NULL
14790099,2/22/2020 6:35,0,eGaming,Non Table Games,Online,Mobile
17644230,10/29/2020 21:23,2,eGaming,Non Table Games,Online,Web
17131769,NULL,NULL,NULL,NULL,NULL,NULL
15564049,4/22/2020 15:48,10,eGaming,Table Games,Online,Mobile
14534718,12/11/2019 20:25,10,Sports,Prematch,Online,Mobile
12353511,NULL,NULL,NULL,NULL,NULL,NULL
18818948,NULL,NULL,NULL,NULL,NULL,NULL
14531047,12/11/2019 8:17,0,eGaming,Non Table Games,Online,Mobile
14490327,NULL,NULL,NULL,NULL,NULL,NULL
14885707,2/1/2020 23:39,3,eGaming,Non Table Games,Online,Mobile
17349100,10/4/2020 16:06,0,eGaming,Non Table Games,Online,Mobile
12638536,3/7/2019 19:44,10,eGaming,Non Table Games,Online,Mobile
12793486,NULL,NULL,NULL,NULL,NULL,NULL
12347011,NULL,NULL,NULL,NULL,NULL,NULL
13643944,10/8/2019 13:12,1,eGaming,Non Table Games,Online,Mobile
16144975,NULL,NULL,NULL,NULL,NULL,NULL
13308025,7/31/2019 16:52,0,eGaming,Non Table Games,Online,Mobile
13014436,NULL,NULL,NULL,NULL,NULL,NULL
15141133,3/15/2020 1:14,1,eGaming,Non Table Games,Online,Mobile
14709493,1/6/2020 23:58,20,eGaming,Non Table Games,Online,Mobile
13497477,9/17/2019 15:20,5,eGaming,Non Table Games,Online,Mobile
13749701,10/23/2019 16:59,0,eGaming,Non Table Games,Online,Mobile
13857490,11/8/2019 19:19,0,eGaming,Non Table Games,Online,Web
12748929,3/29/2019 19:33,1,eGaming,Non Table Games,Online,Mobile
16440348,7/21/2020 14:09,4,eGaming,Table Games,Online,Mobile
20289960,NULL,NULL,NULL,NULL,NULL,NULL
19180306,3/24/2021 20:09,1,Sports,Prematch,Online,Mobile
15571560,4/23/2020 7:21,0,eGaming,Non Table Games,Online,Mobile
18029686,NULL,NULL,NULL,NULL,NULL,NULL
18328548,12/11/2020 8:57,10,Sports,Prematch,Online,Mobile
12669005,3/14/2019 10:13,1,Sports,Prematch,Online,Mobile
15725376,5/6/2020 21:36,0,eGaming,Non Table Games,Online,Mobile
20791752,7/9/2021 21:12,1,eGaming,Non Table Games,Online,Mobile
13773266,NULL,NULL,NULL,NULL,NULL,NULL
20591094,NULL,NULL,NULL,NULL,NULL,NULL
19628656,NULL,NULL,NULL,NULL,NULL,NULL
13613126,NULL,NULL,NULL,NULL,NULL,NULL
16158023,NULL,NULL,NULL,NULL,NULL,NULL
13910005,3/26/2021 13:31,2,Lotto,Lotto,Online,Mobile
14548518,12/13/2019 17:48,1,eGaming,Non Table Games,Online,Mobile
13788787,NULL,NULL,NULL,NULL,NULL,NULL
13906816,NULL,NULL,NULL,NULL,NULL,NULL
20067063,NULL,NULL,NULL,NULL,NULL,NULL
12345718,1/10/2019 17:55,1,Sports,Prematch,Online,Mobile
12503312,NULL,NULL,NULL,NULL,NULL,NULL
15654209,4/30/2020 15:28,2,eGaming,Non Table Games,Online,Mobile
12751100,NULL,NULL,NULL,NULL,NULL,NULL
15226766,NULL,NULL,NULL,NULL,NULL,NULL
14525959,NULL,NULL,NULL,NULL,NULL,NULL
12433485,1/25/2019 1:10,1,eGaming,Non Table Games,Online,Mobile
14828841,1/23/2020 21:43,1,eGaming,Non Table Games,Online,Mobile
15093761,NULL,NULL,NULL,NULL,NULL,NULL
15241738,3/25/2020 15:02,10,eGaming,Non Table Games,Online,Mobile
18157453,12/3/2020 11:25,0,eGaming,Non Table Games,Online,Mobile
17372337,10/7/2020 7:02,2,eGaming,Non Table Games,Online,Mobile
12599057,3/1/2019 17:01,1,eGaming,Non Table Games,Online,Mobile
13004255,NULL,NULL,NULL,NULL,NULL,NULL
15712067,5/5/2020 17:40,3,eGaming,Non Table Games,Online,Mobile
15416138,4/11/2020 5:19,1,eGaming,Non Table Games,Online,Mobile
15856302,NULL,NULL,NULL,NULL,NULL,NULL
14798153,NULL,NULL,NULL,NULL,NULL,NULL
17658463,10/29/2020 12:32,30,eGaming,Non Table Games,Online,Mobile
17139741,NULL,NULL,NULL,NULL,NULL,NULL
15580853,4/23/2020 22:51,10,eGaming,Non Table Games,Online,Mobile
14539077,NULL,NULL,NULL,NULL,NULL,NULL
